2026-05-15 22:50:11,324 | INFO     | train |   Artefak di-log: label_encoder.pkl
2026-05-15 22:50:11,331 | INFO     | train |   Artefak di-log: model_metadata.json
2026-05-15 22:50:11,336 | INFO     | train |   Artefak di-log: hasil_sentimen_absa.csv
2026-05-15 22:50:39,972 | INFO     | train |   Model di-log ke MLflow Model Registry
2026-05-15 22:50:39,974 | INFO     | train | MLflow logging selesai. Run ID: 8a9999438fc94e9a865e1d96522fb552
2026-05-15 22:50:39,983 | INFO     | train | =======================================================
2026-05-15 22:50:39,983 | INFO     | train |   RINGKASAN HASIL TRAINING
2026-05-15 22:50:39,983 | INFO     | train | =======================================================
2026-05-15 22:50:39,985 | INFO     | train |   Dataset             : 10883 komentar
2026-05-15 22:50:39,986 | INFO     | train |   Akurasi Test Set    : 96.37%
2026-05-15 22:50:39,986 | INFO     | train |   F1-Score (weighted) : 96.37%
2026-05-15 22:50:39,989 | INFO     | train |   CV Mean Accuracy    : 96.01% ± 0.58%
2026-05-15 22:50:39,989 | INFO     | train |   Output folder       : d:\freecodecamp\mbg_project\output
2026-05-15 22:50:39,989 | INFO     | train |   Model folder        : d:\freecodecamp\mbg_project\models
2026-05-15 22:50:39,989 | INFO     | train |   MLflow UI           : jalankan 'mlflow ui' lalu buka http://localhost:5000
2026-05-15 22:50:39,989 | INFO     | train | =======================================================
2026-05-15 22:50:39,989 | INFO     | train |   ✅ TRAINING SELESAI!
2026-05-15 22:50:39,993 | INFO     | train | =======================================================
2026-05-16 22:48:31,121 | INFO     | train | =======================================================
2026-05-16 22:48:31,122 | INFO     | train | STEP 1: MEMUAT DATASET
2026-05-16 22:48:31,122 | INFO     | train | =======================================================
2026-05-16 22:48:31,203 | INFO     | train | Data dimuat: 10999 baris, 5 kolom
2026-05-16 22:48:31,254 | INFO     | train | Dataset final: 10998 baris
2026-05-16 22:48:31,255 | INFO     | train | STEP 2: EXPLORATORY DATA ANALYSIS
2026-05-16 22:48:31,255 | INFO     | train |   Rata-rata panjang  : 116.5 karakter
2026-05-16 22:48:31,256 | INFO     | train |   Rata-rata kata     : 17.9 kata
2026-05-16 22:48:31,257 | INFO     | train |   Komentar terpanjang: 3579 karakter
2026-05-16 22:48:31,257 | INFO     | train |   Like count max     : 2431
2026-05-16 22:48:31,257 | INFO     | train | Membuat grafik EDA ...
2026-05-16 22:48:32,438 | INFO     | train | STEP 3: PREPROCESSING ...
2026-05-16 22:48:32,588 | INFO     | src.preprocessor | Preprocessor siap. Stopword: 144 kata, Stemmer: Sastrawi
2026-05-16 22:54:48,162 | INFO     | src.preprocessor | Preprocessing: 1000/10998 selesai
2026-05-16 22:59:24,267 | INFO     | src.preprocessor | Preprocessing: 2000/10998 selesai
2026-05-16 23:05:48,174 | INFO     | src.preprocessor | Preprocessing: 3000/10998 selesai
2026-05-16 23:08:46,060 | INFO     | src.preprocessor | Preprocessing: 4000/10998 selesai
2026-05-16 23:12:04,490 | INFO     | src.preprocessor | Preprocessing: 5000/10998 selesai
2026-05-16 23:14:39,371 | INFO     | src.preprocessor | Preprocessing: 6000/10998 selesai
2026-05-16 23:18:38,111 | INFO     | src.preprocessor | Preprocessing: 7000/10998 selesai
2026-05-16 23:20:55,684 | INFO     | src.preprocessor | Preprocessing: 8000/10998 selesai
2026-05-16 23:22:54,538 | INFO     | src.preprocessor | Preprocessing: 9000/10998 selesai
2026-05-16 23:25:15,217 | INFO     | src.preprocessor | Preprocessing: 10000/10998 selesai
2026-05-16 23:27:07,725 | INFO     | src.preprocessor | Preprocessing selesai: 10998 teks diproses
2026-05-16 23:27:08,032 | INFO     | train | Preprocessing selesai (2315.6s). Sisa data: 10883 baris
2026-05-16 23:27:08,032 | INFO     | train | STEP 4: PELABELAN SENTIMEN & ASPEK ...
2026-05-16 23:27:08,033 | INFO     | src.labeler | Memulai pelabelan sentimen & aspek ...
2026-05-16 23:27:08,249 | INFO     | src.labeler | Distribusi sentimen: {'netral': 4282, 'positif': 3927, 'negatif': 2674}
2026-05-16 23:27:08,250 | INFO     | src.labeler | Distribusi aspek: {'kualitas_makanan': 4861, 'umum': 3320, 'anggaran': 1075, 'program': 945, 'guru_sekolah': 665, 'distribusi': 17}
2026-05-16 23:27:08,253 | INFO     | train | Membuat grafik distribusi label ...
2026-05-16 23:27:08,895 | INFO     | train | Membuat grafik ABSA ...
2026-05-16 23:27:09,370 | INFO     | train | Distribusi sentimen: {'netral': 4282, 'positif': 3927, 'negatif': 2674}
2026-05-16 23:27:09,370 | INFO     | train | STEP 5: REKAYASA FITUR ...
2026-05-16 23:27:09,378 | INFO     | src.feature_engineering | Membangun fitur training ...
2026-05-16 23:27:10,336 | INFO     | src.feature_engineering | TF-IDF shape: (10883, 6000)
2026-05-16 23:27:15,583 | INFO     | src.feature_engineering | Total fitur gabungan: 6012
2026-05-16 23:27:15,606 | INFO     | src.feature_engineering | Kelas label: ['negatif', 'netral', 'positif']
2026-05-16 23:27:15,725 | INFO     | train | Matriks fitur: (10883, 6012)
2026-05-16 23:27:15,725 | INFO     | train | STEP 6: TRAIN-TEST SPLIT + SMOTE ...
2026-05-16 23:27:21,228 | INFO     | train | Data train setelah SMOTE: 10275 baris
2026-05-16 23:27:21,229 | INFO     | train | Distribusi kelas: {'negatif': 3425, 'netral': 3425, 'positif': 3425}
2026-05-16 23:27:21,446 | INFO     | train | STEP 7: TRAINING ATTENTION-ENHANCED XGBOOST ...
2026-05-16 23:37:20,639 | INFO     | train | Training selesai dalam 599.2 detik
